"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.01,1155
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.025,1250
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.05,1336
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.1,1434
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.15,1500
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.2,1553
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.25,1600
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.3,1643
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.35,1682
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.4,1719
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.45,1757
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.5,1794
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.55,1831
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.6,1868
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.65,1908
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.7,1950
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.75,1997
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.8,2048
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.85,2109
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.9,2188
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.95,2305
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.975,2414
"2022-02-28","1 wk ahead inc flu hosp","2022-03-05","US","quantile",0.99,2536
"2022-02-28","2 wk ahead inc flu hosp","2022-03-12","US","quantile",0.01,934
"2022-02-28","2 wk ahead inc flu hosp","2022-03-12","US","quantile",0.025,1086
"2022-02-28","2 wk ahead inc flu hosp","2022-03-12","US","quantile",0.05,1219
"2022-02-28","2 wk ahead inc flu hosp","2022-03-12","US","quantile",0.1,1379
"2022-02-28","2 wk ahead inc flu hosp","2022-03-12","US","quantile",0.15,1485
"2022-02-28","2 wk ahead inc flu hosp","2022-03-12","US","quantile",0.2,1573
"2022-02-28","2 wk ahead inc flu hosp","2022-03-12","US","quantile",0.25,1646
"2022-02-28","2 wk ahead inc flu hosp","2022-03-12","US","quantile",0.3,1714
