"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.01,3142
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.025,3157
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.05,3183
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.1,3234
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.15,3285
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.2,3336
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.25,3387
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.3,3438
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.35,3476
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.4,3486
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.45,3496
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.5,3506
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.55,3516
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.6,3526
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.65,3536
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.7,3547
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.75,3559
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.8,3570
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.85,3582
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.9,3593
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.95,3605
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.975,3611
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","quantile",0.99,3614
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.01,3022
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.025,3103
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.05,3200
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.1,3286
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.15,3331
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.2,3366
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.25,3400
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.3,3435
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.35,3471
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.4,3508
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.45,3545
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.5,3580
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.55,3607
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.6,3629
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.65,3650
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.7,3668
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.75,3686
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.8,3702
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.85,3721
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.9,3742
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.95,3772
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.975,3793
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","quantile",0.99,3812
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.01,3016
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.025,3110
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.05,3189
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.1,3294
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.15,3371
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.2,3424
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.25,3465
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.3,3500
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.35,3533
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.4,3565
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.45,3596
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.5,3629
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.55,3665
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.6,3700
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.65,3732
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.7,3763
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.75,3793
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.8,3821
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.85,3849
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.9,3881
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.95,3921
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.975,3952
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","quantile",0.99,3983
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.01,2989
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.025,3111
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.05,3213
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.1,3324
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.15,3400
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.2,3463
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.25,3516
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.3,3561
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.35,3600
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.4,3635
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.45,3670
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.5,3703
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.55,3737
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.6,3772
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.65,3808
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.7,3846
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.75,3885
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.8,3925
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.85,3964
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.9,4007
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.95,4061
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.975,4100
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","quantile",0.99,4141
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","US","point",NA,3506
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","US","point",NA,3580
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","US","point",NA,3629
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","US","point",NA,3703
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.01,0
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.025,0
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.05,0
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.1,0
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.15,0
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.2,0
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.25,1
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.3,2
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.35,3
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.4,4
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.45,5
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.5,6
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.55,7
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.6,8
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.65,9
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.7,11
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.75,13
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.8,15
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.85,17
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.9,19
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.95,21
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.975,22
"2022-05-02","1 wk ahead inc flu hosp","2022-05-07","01","quantile",0.99,23
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.01,0
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.025,0
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.05,0
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.1,0
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.15,0
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.2,0
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.25,0
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.3,0
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.35,0
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.4,0
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.45,0
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.5,1
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.55,3
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.6,4
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.65,6
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.7,7
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.75,9
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.8,11
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.85,14
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.9,17
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.95,21
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.975,25
"2022-05-02","2 wk ahead inc flu hosp","2022-05-14","01","quantile",0.99,29
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.01,0
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.025,0
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.05,0
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.1,0
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.15,0
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.2,0
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.25,0
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.3,0
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.35,0
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.4,0
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.45,0
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.5,0
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.55,0
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.6,0
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.65,1
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.7,3
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.75,5
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.8,8
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.85,11
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.9,14
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.95,20
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.975,24
"2022-05-02","3 wk ahead inc flu hosp","2022-05-21","01","quantile",0.99,29
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","01","quantile",0.01,0
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","01","quantile",0.025,0
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","01","quantile",0.05,0
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","01","quantile",0.1,0
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","01","quantile",0.15,0
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","01","quantile",0.2,0
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","01","quantile",0.25,0
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","01","quantile",0.3,0
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","01","quantile",0.35,0
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","01","quantile",0.4,0
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","01","quantile",0.45,0
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","01","quantile",0.5,0
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","01","quantile",0.55,0
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","01","quantile",0.6,0
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","01","quantile",0.65,0
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","01","quantile",0.7,0
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","01","quantile",0.75,1
"2022-05-02","4 wk ahead inc flu hosp","2022-05-28","01","quantile",0.8,4
