"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.01,1532
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.025,1737
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.05,1915
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.1,2120
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.15,2260
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.2,2374
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.25,2471
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.3,2560
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.35,2642
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.4,2720
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.45,2799
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.5,2872
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.55,2945
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.6,3021
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.65,3099
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.7,3179
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.75,3268
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.8,3368
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.85,3482
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.9,3627
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.95,3832
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.975,4003
"2022-06-06","1 wk ahead inc flu hosp","2022-06-11","US","quantile",0.99,4200
"2022-06-06","2 wk ahead inc flu hosp","2022-06-18","US","quantile",0.01,768
"2022-06-06","2 wk ahead inc flu hosp","2022-06-18","US","quantile",0.025,1095
"2022-06-06","2 wk ahead inc flu hosp","2022-06-18","US","quantile",0.05,1376
"2022-06-06","2 wk ahead inc flu hosp","2022-06-18","US","quantile",0.1,1704
"2022-06-06","2 wk ahead inc flu hosp","2022-06-18","US","quantile",0.15,1927
"2022-06-06","2 wk ahead inc flu hosp","2022-06-18","US","quantile",0.2,2108
"2022-06-06","2 wk ahead inc flu hosp","2022-06-18","US","quantile",0.25,2259
"2022-06-06","2 wk ahead inc flu hosp","2022-06-18","US","quantile",0.3,2395
"2022-06-06","2 wk ahead inc flu hosp","2022-06-18","US","quantile",0.35,2521
"2022-06-06","2 wk ahead inc flu hosp","2022-06-18","US","quantile",0.4,2643
"2022-06-06","2 wk ahead inc flu hosp","2022-06-18","US","quantile",0.45,2757
"2022-06-06","2 wk ahead inc flu hosp","2022-06-18","US","quantile",0.5,2871
"2022-06-06","2 wk ahead inc flu hosp","2022-06-18","US","quantile",0.55,2985
