"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.01,3424
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.025,3440
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.05,3466
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.1,3518
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.15,3565
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.2,3572
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.25,3579
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.3,3592
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.35,3616
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.4,3641
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.45,3679
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.5,3735
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.55,3791
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.6,3830
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.65,3855
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.7,3879
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.75,3892
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.8,3899
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.85,3906
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.9,3953
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.95,4005
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.975,4031
"2022-04-25","1 wk ahead inc flu hosp","2022-04-30","US","quantile",0.99,4047
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.01,3244
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.025,3285
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.05,3332
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.1,3407
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.15,3453
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.2,3505
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.25,3562
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.3,3607
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.35,3648
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.4,3682
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.45,3713
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.5,3735
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.55,3757
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.6,3788
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.65,3823
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.7,3864
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.75,3910
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.8,3968
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.85,4019
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.9,4065
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.95,4137
"2022-04-25","2 wk ahead inc flu hosp","2022-05-07","US","quantile",0.975,4185
