"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.01,1235
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.025,1371
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.05,1498
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.1,1652
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.15,1764
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.2,1854
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.25,1934
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.3,2007
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.35,2076
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.4,2145
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.45,2212
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.5,2280
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.55,2347
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.6,2416
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.65,2490
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.7,2569
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.75,2656
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.8,2755
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.85,2870
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.9,3022
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.95,3249
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.975,3452
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","quantile",0.99,3701
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.01,713
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.025,885
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.05,1047
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.1,1254
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.15,1405
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.2,1535
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.25,1649
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.3,1757
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.35,1860
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.4,1960
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.45,2060
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.5,2160
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.55,2260
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.6,2371
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.65,2484
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.7,2609
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.75,2745
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.8,2897
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.85,3083
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.9,3326
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.95,3700
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.975,4033
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","quantile",0.99,4444
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.01,405
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.025,578
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.05,749
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.1,979
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.15,1154
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.2,1299
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.25,1431
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.3,1558
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.35,1679
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.4,1800
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.45,1921
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.5,2043
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.55,2170
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.6,2299
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.65,2441
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.7,2595
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.75,2768
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.8,2967
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.85,3199
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.9,3515
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.95,4007
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.975,4458
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","quantile",0.99,4993
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.01,213
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.025,365
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.05,532
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.1,766
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.15,948
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.2,1104
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.25,1250
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.3,1389
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.35,1523
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.4,1657
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.45,1792
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.5,1932
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.55,2074
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.6,2224
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.65,2382
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.7,2559
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.75,2763
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.8,2996
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.85,3277
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.9,3644
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.95,4237
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.975,4777
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","quantile",0.99,5457
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","US","point",NA,2280
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","US","point",NA,2160
"2022-06-13","3 wk ahead inc flu hosp","2022-07-02","US","point",NA,2043
"2022-06-13","4 wk ahead inc flu hosp","2022-07-09","US","point",NA,1932
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.01,1
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.025,2
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.05,4
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.1,8
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.15,12
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.2,15
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.25,18
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.3,21
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.35,24
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.4,27
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.45,30
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.5,33
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.55,36
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.6,40
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.65,44
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.7,48
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.75,52
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.8,58
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.85,64
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.9,73
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.95,87
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.975,100
"2022-06-13","1 wk ahead inc flu hosp","2022-06-18","01","quantile",0.99,116
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","01","quantile",0.01,0
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","01","quantile",0.025,0
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","01","quantile",0.05,1
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","01","quantile",0.1,3
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","01","quantile",0.15,6
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","01","quantile",0.2,10
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","01","quantile",0.25,15
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","01","quantile",0.3,19
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","01","quantile",0.35,23
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","01","quantile",0.4,28
"2022-06-13","2 wk ahead inc flu hosp","2022-06-25","01","quantile",0.45,33
