"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.01,2984
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.025,2999
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.05,3025
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.1,3078
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.15,3131
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.2,3184
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.25,3238
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.3,3293
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.35,3336
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.4,3357
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.45,3379
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.5,3400
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.55,3421
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.6,3443
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.65,3464
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.7,3482
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.75,3498
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.8,3514
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.85,3530
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.9,3545
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.95,3561
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.975,3569
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","quantile",0.99,3574
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.01,2759
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.025,2845
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.05,2938
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.1,3043
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.15,3108
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.2,3155
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.25,3193
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.3,3231
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.35,3271
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.4,3311
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.45,3351
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.5,3390
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.55,3428
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.6,3464
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.65,3497
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.7,3529
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.75,3559
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.8,3589
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.85,3624
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.9,3662
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.95,3708
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.975,3738
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","quantile",0.99,3765
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.01,2655
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.025,2766
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.05,2861
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.1,2974
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.15,3056
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.2,3122
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.25,3176
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.3,3223
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.35,3265
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.4,3305
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.45,3345
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.5,3385
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.55,3425
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.6,3467
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.65,3511
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.7,3554
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.75,3599
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.8,3647
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.85,3696
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.9,3749
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.95,3819
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.975,3872
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","quantile",0.99,3922
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.01,2567
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.025,2689
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.05,2799
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.1,2927
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.15,3015
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.2,3087
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.25,3147
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.3,3204
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.35,3254
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.4,3303
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.45,3348
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.5,3393
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.55,3437
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.6,3482
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.65,3529
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.7,3577
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.75,3630
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.8,3687
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.85,3750
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.9,3822
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.95,3916
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.975,3985
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","quantile",0.99,4056
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","US","point",NA,3400
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","US","point",NA,3390
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","US","point",NA,3385
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","US","point",NA,3393
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.01,4
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.025,4
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.05,4
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.1,4
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.15,5
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.2,5
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.25,5
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.3,6
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.35,7
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.4,9
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.45,11
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.5,14
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.55,16
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.6,20
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.65,23
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.7,25
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.75,25
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.8,26
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.85,26
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.9,27
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.95,27
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.975,28
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","quantile",0.99,28
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.01,0
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.025,0
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.05,0
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.1,0
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.15,1
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.2,3
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.25,5
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.3,7
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.35,10
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.4,11
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.45,12
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.5,12
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.55,13
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.6,14
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.65,16
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.7,19
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.75,23
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.8,28
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.85,33
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.9,39
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.95,41
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.975,42
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","quantile",0.99,43
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.01,0
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.025,0
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.05,0
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.1,0
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.15,1
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.2,2
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.25,3
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.3,4
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.35,5
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.4,7
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.45,9
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.5,12
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.55,14
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.6,17
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.65,20
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.7,22
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.75,24
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.8,26
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.85,32
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.9,40
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.95,52
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.975,58
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","quantile",0.99,61
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.01,0
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.025,0
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.05,0
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.1,0
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.15,0
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.2,1
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.25,2
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.3,3
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.35,5
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.4,7
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.45,9
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.5,10
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.55,12
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.6,15
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.65,18
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.7,22
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.75,26
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.8,31
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.85,36
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.9,41
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.95,55
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.975,67
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","quantile",0.99,77
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","01","point",NA,14
"2022-05-16","2 wk ahead inc flu hosp","2022-05-28","01","point",NA,12
"2022-05-16","3 wk ahead inc flu hosp","2022-06-04","01","point",NA,12
"2022-05-16","4 wk ahead inc flu hosp","2022-06-11","01","point",NA,10
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","02","quantile",0.01,2
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","02","quantile",0.025,2
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","02","quantile",0.05,2
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","02","quantile",0.1,2
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","02","quantile",0.15,2
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","02","quantile",0.2,2
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","02","quantile",0.25,3
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","02","quantile",0.3,3
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","02","quantile",0.35,3
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","02","quantile",0.4,3
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","02","quantile",0.45,3
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","02","quantile",0.5,4
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","02","quantile",0.55,4
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","02","quantile",0.6,4
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","02","quantile",0.65,4
"2022-05-16","1 wk ahead inc flu hosp","2022-05-21","02","quantile",0.7,5
