"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.01,3330
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.025,3330
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.05,3331
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.1,3332
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.15,3334
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.2,3345
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.25,3355
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.3,3363
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.35,3367
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.4,3370
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.45,3414
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.5,3514
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.55,3614
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.6,3660
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.65,3663
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.7,3667
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.75,3676
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.8,3687
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.85,3698
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.9,3700
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.95,3701
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.975,3702
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","quantile",0.99,3702
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.01,3153
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.025,3158
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.05,3173
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.1,3189
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.15,3208
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.2,3248
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.25,3356
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.3,3461
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.35,3481
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.4,3496
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.45,3508
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.5,3514
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.55,3519
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.6,3531
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.65,3546
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.7,3566
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.75,3675
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.8,3789
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.85,3832
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.9,3853
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.95,3870
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.975,3887
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","quantile",0.99,3893
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.01,2997
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.025,3014
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.05,3037
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.1,3120
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.15,3268
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.2,3317
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.25,3333
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.3,3350
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.35,3365
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.4,3386
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.45,3435
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.5,3514
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.55,3593
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.6,3640
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.65,3660
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.7,3676
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.75,3693
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.8,3709
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.85,3752
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.9,3918
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.95,4017
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.975,4045
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","quantile",0.99,4063
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.01,2860
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.025,2893
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.05,2986
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.1,3151
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.15,3184
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.2,3212
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.25,3255
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.3,3336
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.35,3419
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.4,3473
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.45,3495
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.5,3514
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.55,3532
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.6,3557
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.65,3611
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.7,3698
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.75,3785
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.8,3831
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.85,3860
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.9,3896
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.95,4078
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.975,4194
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","quantile",0.99,4233
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","US","point",NA,3514
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","US","point",NA,3514
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","US","point",NA,3514
"2022-04-18","4 wk ahead inc flu hosp","2022-05-14","US","point",NA,3514
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.01,13
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.025,13
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.05,14
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.1,14
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.15,15
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.2,16
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.25,16
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.3,17
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.35,17
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.4,18
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.45,19
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.5,21
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.55,22
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.6,23
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.65,24
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.7,25
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.75,25
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.8,26
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.85,27
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.9,28
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.95,29
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.975,29
"2022-04-18","1 wk ahead inc flu hosp","2022-04-23","01","quantile",0.99,29
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.01,9
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.025,10
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.05,10
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.1,12
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.15,13
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.2,14
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.25,16
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.3,17
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.35,18
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.4,19
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.45,20
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.5,21
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.55,21
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.6,22
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.65,23
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.7,24
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.75,26
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.8,28
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.85,30
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.9,32
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.95,34
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.975,35
"2022-04-18","2 wk ahead inc flu hosp","2022-04-30","01","quantile",0.99,37
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","01","quantile",0.01,6
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","01","quantile",0.025,7
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","01","quantile",0.05,8
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","01","quantile",0.1,11
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","01","quantile",0.15,12
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","01","quantile",0.2,14
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","01","quantile",0.25,15
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","01","quantile",0.3,16
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","01","quantile",0.35,17
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","01","quantile",0.4,18
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","01","quantile",0.45,19
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","01","quantile",0.5,21
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","01","quantile",0.55,22
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","01","quantile",0.6,23
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","01","quantile",0.65,24
"2022-04-18","3 wk ahead inc flu hosp","2022-05-07","01","quantile",0.7,26
